Subject,Warmup,Preworkout,Music,Tolerance
1,Dynamic stretching,Pre-workout drink,Upbeat music,29.2
2,No warm-up,Pre-workout drink,No music,14.8
3,Dynamic stretching,Pre-workout drink,Upbeat music,24.1
4,No warm-up,None,No music,6.1
5,Dynamic stretching,None,Upbeat music,14.6
6,Dynamic stretching,Pre-workout drink,No music,17.6
7,Dynamic stretching,None,No music,20.4
8,No warm-up,None,No music,14.4
9,No warm-up,Pre-workout drink,Upbeat music,20
10,Dynamic stretching,None,Upbeat music,15.3
11,Dynamic stretching,Pre-workout drink,No music,23.2
12,Dynamic stretching,None,No music,12.8
13,No warm-up,None,Upbeat music,10.8
14,No warm-up,Pre-workout drink,No music,10.3
15,No warm-up,Pre-workout drink,Upbeat music,17.6
16,No warm-up,Pre-workout drink,No music,11.3
17,Dynamic stretching,Pre-workout drink,Upbeat music,24.6
18,No warm-up,Pre-workout drink,Upbeat music,21.9
19,No warm-up,None,Upbeat music,16.1
20,Dynamic stretching,None,No music,14.9
21,No warm-up,None,Upbeat music,9.3
22,No warm-up,None,No music,10.1
23,Dynamic stretching,Pre-workout drink,No music,18.8
24,Dynamic stretching,None,Upbeat music,12.3
